Primary Type,Crime Type
BATTERY,Violent
PUBLIC PEACE VIOLATION,Non-Violent
THEFT,Violent
WEAPONS VIOLATION,Violent
ROBBERY,Violent
MOTOR VEHICLE THEFT,Violent
ASSAULT,Violent
OTHER OFFENSE,Non-Violent
DECEPTIVE PRACTICE,Non-Violent
CRIMINAL DAMAGE,Violent
CRIMINAL TRESPASS,Non-Violent
BURGLARY,Non-Violent
STALKING,Non-Violent
CRIM SEXUAL ASSAULT,Violent
NARCOTICS,Non-Violent
SEX OFFENSE,Violent
OBSCENITY,Non-Violent
OFFENSE INVOLVING CHILDREN,Violent
KIDNAPPING,Violent
HOMICIDE,Violent
INTERFERENCE WITH PUBLIC OFFICER,Violent
PROSTITUTION,Non-Violent
GAMBLING,Non-Violent
INTIMIDATION,Violent
ARSON,Violent
LIQUOR LAW VIOLATION,Non-Violent
NON-CRIMINAL,Non-Violent
PUBLIC INDECENCY,Non-Violent
HUMAN TRAFFICKING,Violent
CONCEALED CARRY LICENSE VIOLATION,Non-Violent
NON - CRIMINAL,Non-Violent
OTHER NARCOTIC VIOLATION,Non-Violent
NON-CRIMINAL (SUBJECT SPECIFIED),Non-Violent
